variable,files,unique_values,suspected_conflict
"--glass-border-hover",3,3,true
"--glass-border-active",3,3,true
"--glass-border-disabled",3,3,true
"--glass-border-subtle",2,2,true
"--glass-border-strong",2,2,true
"--glass-focus-color",2,2,true
"--glass-focus-offset-color",2,2,true
"--glass-shadow-color",2,2,true
"--glass-shadow-color-subtle",2,2,true
"--glass-shadow-color-strong",2,2,true
"--glass-shadow-xs",3,2,true
"--glass-shadow-sm",3,2,true
"--glass-shadow-md",3,2,true
"--glass-shadow-lg",3,2,true
"--glass-shadow-xl",3,2,true
"--glass-shadow-2xl",3,2,true
"--glass-elev-1",3,3,true
"--glass-elev-2",3,3,true
"--glass-elev-3",3,3,true
"--glass-elev-4",3,3,true
"--glass-elev-5",3,3,true
"--glass-elev-6",3,3,true
"--glass-control-bg",2,2,true
"--glass-control-bg-hover",2,2,true
"--glass-control-bg-active",2,2,true
"--glass-control-bg-disabled",2,2,true
"--glass-control-border",2,2,true
"--glass-control-border-hover",2,2,true
"--glass-control-border-active",2,2,true
"--glass-control-border-disabled",2,2,true
"--glass-accent-primary-bg",2,2,true
"--glass-accent-primary-fg",2,2,true
"--glass-accent-primary-border",2,2,true
"--glass-accent-success-bg",2,2,true
"--glass-accent-success-fg",2,2,true
"--glass-accent-success-border",2,2,true
"--glass-accent-warning-bg",2,2,true
"--glass-accent-warning-fg",2,2,true
"--glass-accent-warning-border",2,2,true
"--glass-accent-danger-bg",2,2,true
"--glass-accent-danger-fg",2,2,true
"--glass-accent-danger-border",2,2,true
"--glass-accent-info-bg",2,2,true
"--glass-accent-info-fg",2,2,true
"--glass-accent-info-border",2,2,true
"--glass-overlay-bg",2,2,true
"--glass-overlay-bg-subtle",2,2,true
"--glass-overlay-bg-strong",2,2,true
"--glass-backdrop-brightness",3,2,true
"--glass-backdrop-contrast",3,2,true
"--glass-gradient-default",2,2,true
"--glass-gradient-subtle",2,2,true
"--glass-gradient-strong",2,2,true
"--glass-specular-color",2,2,true
